"url","name","roast","notes"
"https://beanbox.com/1","Ethiopian Yirgacheffe","medium","chocolate, ginger"
"https://beanbox.com/2","Roaster's Choice","dark","nutty, spice, smoky"
"https://beanbox.com/3","Drip Blend","medium","caramel, cherry, chocolate"
"https://beanbox.com/4","Hillman City Global Blend","medium","raisin, sugar cane, chocolate"
"https://beanbox.com/5","Nicaragua Perla Negra","light","caramel, honey"
"https://beanbox.com/6","Hapuna Espresso Blend","medium","citrus"
"https://beanbox.com/7","Ndava & Ngogoma, Burundi","light","sugar cane, graham cracker, chocolate"
"https://beanbox.com/8","Sumatra Mandheling Old School","medium","chocolate, spice, cedar"
"https://beanbox.com/9","Westlake Avenue Blend","medium","chocolate, brown sugar, cocoa"
"https://beanbox.com/10","Brazil Rancho Sao Benedito","medium","butterscotch, vanilla"
"https://beanbox.com/11","Stemwinder Blend","dark",""
"https://beanbox.com/12","Novacella Decaf","decaf","nutty, cedar, cocoa butter"
"https://beanbox.com/13","Rwanda Nyamasheke Decaf","decaf","blackberry, fig, pomegranate"
"https://beanbox.com/14","Colombia El Paraiso","medium","date, persimmon, raspberry"
"https://beanbox.com/15","Loaded Blend","medium","chocolate, berry, cedar"
"https://beanbox.com/16","Crossfade Blend","light","bosc pear, walnuts, chocolate"
"https://beanbox.com/17","Ethiopia Yirgacheffe Kochere","light","lemongrass, cinnamon, caramel apple"
"https://beanbox.com/18","Kilenso Ethiopia","light","cocoa powder, strawberry, blueberry"
"https://beanbox.com/19","Nilson Lopez Colombia","light","fig, pomegranate, marzipan"
"https://beanbox.com/20","Coffee Brewing This Month","",""
"https://beanbox.com/21","Coffee Brewing This Month","",""
"https://beanbox.com/22","Coffee Brewing This Month","",""
"https://beanbox.com/23","Coffee Brewing This Month","",""
"https://beanbox.com/24","Coffee Brewing This Month","",""
"https://beanbox.com/25","Rwanda Mukushyaka","light","lime, melon, chocolate"
"https://beanbox.com/26","Coffee Brewing This Month","",""
"https://beanbox.com/27","Guatemala La Hermosa","dark",""
"https://beanbox.com/28","Colombia Huila, Dilmer Perdomo","light","walnuts, chocolate, plum"
"https://beanbox.com/29","Kenya Nyeri Karogoto","light","date, plum"
"https://beanbox.com/30","Bali Kintamani Natural","light","grape, honey, raspberry"
"https://beanbox.com/31","Espresso Huli","medium","chocolate, butter, bakers chocolate"
"https://beanbox.com/32","Nicaragua Cerro del Cielo","medium","lemongrass, lemon, guava"
"https://beanbox.com/33","Chase Your Dreams Blend","dark","chocolate, spice, ginger"
"https://beanbox.com/34","Sumatra Gayo Highlands","light","cherry, clove, sage"
"https://beanbox.com/35","Chocolatey Coffee","dark",""
"https://beanbox.com/36","Colombia El Mirador","light","honey, peach, chocolate"
"https://beanbox.com/37","Any Roast-- Medium","medium",""
"https://beanbox.com/38","Java Gunung Biru","dark","pepper, spice, pear"
"https://beanbox.com/39","Ethiopia YirgZ No Defect","light","sugar cane, blueberry"
"https://beanbox.com/40","A Smooth Sip of the Tropics","medium","nutty, tropical, bold"
"https://beanbox.com/41","Congo Muungano","medium","caramel, rhubarb, brown sugar"
"https://beanbox.com/42","SCW New Kenya","dark",""
"https://beanbox.com/43","Congo Muungano","light","cherry, spice, cocoa"
"https://beanbox.com/44","Kenya Kiambu Yara","medium","tamarind, strawberry"
"https://beanbox.com/45","Colombia La Esperanza","medium","chocolate, hazelnut"
"https://beanbox.com/46","Colombia Bruselas","medium","raisin, honey, raspberry"
"https://beanbox.com/47","Breaker One","medium","stone fruit, chocolate, jasmine"
