url,taste,roast,origin
https://beanbox.com/1,Chocolate,Medium,Ethiopian
https://beanbox.com/1,Ginger,Medium,Ethiopian
https://beanbox.com/2,Nutty,Dark,
https://beanbox.com/2,Spice,Dark,
https://beanbox.com/3,Caramel,Medium,
https://beanbox.com/3,Cherry,Medium,
https://beanbox.com/3,Chocolate,Medium,
https://beanbox.com/4,Chocolate,Medium,
https://beanbox.com/4,Fruit,Medium,
https://beanbox.com/4,Raisin,Medium,
https://beanbox.com/5,Caramel,Light,
https://beanbox.com/5,Honey,Light,
https://beanbox.com/6,Citrus,Medium,Hawaiian
https://beanbox.com/7,Chocolate,Light,
https://beanbox.com/7,Graham Cracker,Light,
https://beanbox.com/8,Cedar,Medium,Sumatran
https://beanbox.com/8,Chocolate,Medium,Sumatran
https://beanbox.com/8,Spice,Medium,Sumatran
https://beanbox.com/9,Brown Sugar,Medium,
https://beanbox.com/9,Chocolate,Medium,
https://beanbox.com/9,Cocoa,Medium,
https://beanbox.com/10,Butterscotch,Medium,Brazilian
https://beanbox.com/10,Vanilla,Medium,Brazilian
https://beanbox.com/12,Cedar,,
https://beanbox.com/12,Nutty,,
https://beanbox.com/12,Roasted Chestnuts,,
https://beanbox.com/13,Blackberry,,
https://beanbox.com/13,Fig,,
https://beanbox.com/13,Pomegranate,,
https://beanbox.com/14,Date,Medium,Colombian
https://beanbox.com/14,Floral,Medium,Colombian
https://beanbox.com/14,Raspberry,Medium,Colombian
https://beanbox.com/15,Cedar,Medium,
https://beanbox.com/15,Chocolate,Medium,
https://beanbox.com/15,Molasses,Medium,
https://beanbox.com/17,Cinnamon,Light,Ethiopian
https://beanbox.com/17,Floral,Light,Ethiopian
https://beanbox.com/17,Jasmine,Light,Ethiopian
https://beanbox.com/18,Blueberry,Light,Ethiopian
https://beanbox.com/18,Fruit,Light,Ethiopian
https://beanbox.com/18,Strawberry,Light,Ethiopian
https://beanbox.com/19,Chocolate,Light,Colombian
https://beanbox.com/19,Fig,Light,Colombian
https://beanbox.com/19,Marzipan,Light,Colombian
https://beanbox.com/25,Chocolate,Light,
https://beanbox.com/25,Lime,Light,
https://beanbox.com/25,Melon,Light,
https://beanbox.com/28,Chocolate,Light,Colombian
https://beanbox.com/28,Plum,Light,Colombian
https://beanbox.com/28,Walnuts,Light,Colombian
https://beanbox.com/29,Date,Light,Kenyan
https://beanbox.com/29,Plum,Light,Kenyan
https://beanbox.com/30,Chocolate,Light,Balinese
https://beanbox.com/30,Honey,Light,Balinese
https://beanbox.com/30,Nutty,Light,Balinese
https://beanbox.com/31,Chocolate,Medium,
https://beanbox.com/32,Guava,Medium,
https://beanbox.com/32,Lemon,Medium,
https://beanbox.com/32,Plum,Medium,
https://beanbox.com/33,Chocolate,Dark,
https://beanbox.com/33,Ginger,Dark,
https://beanbox.com/33,Spice,Dark,
https://beanbox.com/34,Cherry,Light,Sumatran
https://beanbox.com/34,Clove,Light,Sumatran
https://beanbox.com/34,Sage,Light,Sumatran
https://beanbox.com/36,Chocolate,Light,Colombian
https://beanbox.com/36,Hazelnut,Light,Colombian
https://beanbox.com/36,Honey,Light,Colombian
https://beanbox.com/38,Pear,Dark,Indonesian
https://beanbox.com/38,Pepper,Dark,Indonesian
https://beanbox.com/38,Spice,Dark,Indonesian
https://beanbox.com/39,Blueberry,Light,Ethiopian
https://beanbox.com/40,Guava,Medium,Hawaiian
https://beanbox.com/40,Mountain Apple,Medium,Hawaiian
https://beanbox.com/40,Nutty,Medium,Hawaiian
https://beanbox.com/41,Brown Sugar,Medium,
https://beanbox.com/41,Caramel,Medium,
https://beanbox.com/41,Lemon,Medium,
https://beanbox.com/43,Cherry,Light,Congo
https://beanbox.com/43,Cocoa,Light,Congo
https://beanbox.com/43,Fruit,Light,Congo
https://beanbox.com/44,Strawberry,Medium,
https://beanbox.com/44,Tamarind,Medium,
https://beanbox.com/45,Chocolate,Medium,Colombian
https://beanbox.com/45,Hazelnut,Medium,Colombian
https://beanbox.com/46,Chocolate,Medium,Colombian
https://beanbox.com/46,Honey,Medium,Colombian
https://beanbox.com/46,Raisin,Medium,Colombian
https://beanbox.com/47,Chocolate,Medium,
https://beanbox.com/47,Jasmine,Medium,
https://beanbox.com/47,Stone Fruit,Medium,
https://beanbox.com/48,Lemon,Dark,
https://beanbox.com/49,Pepper,Dark,Colombian
https://beanbox.com/49,Spice,Dark,Guatemalan
https://beanbox.com/51,Cherry,Medium,Ethiopian
https://beanbox.com/51,Cinnamon,Medium,Ethiopian
https://beanbox.com/53,Anise,Light,Colombian
